Searching four MU bases: d=7, {I,B1,B2,B3}, 400 starts
  start 242: cost 2.172739e-01   (best 1.089666e-01)
  start 243: cost 1.975468e-01   (best 1.089666e-01)
  start 244: cost 1.588659e-01   (best 1.089666e-01)
  start 245: cost 1.934421e-01   (best 1.089666e-01)
  start 246: cost 2.239516e-01   (best 1.089666e-01)
  start 247: cost 1.694580e-01   (best 1.089666e-01)
  start 248: cost 1.876629e-01   (best 1.089666e-01)
  start 249: cost 1.827088e-01   (best 1.089666e-01)
  start 250: cost 1.956963e-01   (best 1.089666e-01)
  start 251: cost 1.925039e-01   (best 1.089666e-01)
  start 252: cost 1.879171e-01   (best 1.089666e-01)
  start 253: cost 2.277925e-01   (best 1.089666e-01)
  start 254: cost 1.305130e-01   (best 1.089666e-01)
  start 255: cost 1.694580e-01   (best 1.089666e-01)
  start 256: cost 1.805332e-01   (best 1.089666e-01)
  start 257: cost 1.945522e-01   (best 1.089666e-01)
  start 258: cost 1.305130e-01   (best 1.089666e-01)
  start 259: cost 2.078920e-01   (best 1.089666e-01)
  start 260: cost 1.953487e-01   (best 1.089666e-01)
  start 261: cost 1.820267e-01   (best 1.089666e-01)
  start 262: cost 2.200517e-01   (best 1.089666e-01)
  start 263: cost 2.195347e-01   (best 1.089666e-01)
  start 264: cost 2.024271e-01   (best 1.089666e-01)
  start 265: cost 2.054319e-01   (best 1.089666e-01)
  start 266: cost 1.681063e-01   (best 1.089666e-01)
  start 267: cost 2.040575e-01   (best 1.089666e-01)
  start 268: cost 1.754365e-01   (best 1.089666e-01)
  start 269: cost 1.588659e-01   (best 1.089666e-01)
  start 270: cost 1.924206e-01   (best 1.089666e-01)
  start 271: cost 1.914373e-01   (best 1.089666e-01)
  start 272: cost 1.750629e-01   (best 1.089666e-01)
  start 273: cost 1.870058e-01   (best 1.089666e-01)
  start 274: cost 2.091491e-01   (best 1.089666e-01)
  start 275: cost 2.018742e-01   (best 1.089666e-01)
  start 276: cost 1.846604e-01   (best 1.089666e-01)
  start 277: cost 1.917801e-01   (best 1.089666e-01)
  start 278: cost 2.181180e-01   (best 1.089666e-01)
  start 279: cost 2.081490e-01   (best 1.089666e-01)
  start 280: cost 1.850440e-01   (best 1.089666e-01)
  start 281: cost 1.797048e-01   (best 1.089666e-01)
  start 282: cost 1.705838e-01   (best 1.089666e-01)
  start 283: cost 2.105706e-01   (best 1.089666e-01)
  start 284: cost 1.658868e-01   (best 1.089666e-01)
  start 285: cost 1.694580e-01   (best 1.089666e-01)
  start 286: cost 1.894082e-01   (best 1.089666e-01)
  start 287: cost 1.750629e-01   (best 1.089666e-01)
  start 288: cost 1.658868e-01   (best 1.089666e-01)
  start 289: cost 1.305130e-01   (best 1.089666e-01)
  start 290: cost 1.658868e-01   (best 1.089666e-01)
  start 291: cost 1.821129e-01   (best 1.089666e-01)
  start 292: cost 2.000738e-01   (best 1.089666e-01)
  start 293: cost 1.951473e-01   (best 1.089666e-01)
  start 294: cost 2.163899e-01   (best 1.089666e-01)
  start 295: cost 1.933329e-01   (best 1.089666e-01)
  start 296: cost 1.726589e-01   (best 1.089666e-01)
  start 297: cost 1.797048e-01   (best 1.089666e-01)
  start 298: cost 2.178353e-01   (best 1.089666e-01)
  start 299: cost 2.166876e-01   (best 1.089666e-01)
  start 300: cost 5.767862e-02   (best 5.767862e-02)
  start 301: cost 1.588659e-01   (best 5.767862e-02)
  start 302: cost 1.854897e-01   (best 5.767862e-02)
  start 303: cost 1.962055e-01   (best 5.767862e-02)
  start 304: cost 1.892440e-01   (best 5.767862e-02)
  start 305: cost 2.209841e-01   (best 5.767862e-02)
  start 306: cost 1.892440e-01   (best 5.767862e-02)
  start 307: cost 1.891154e-01   (best 5.767862e-02)
  start 308: cost 1.694580e-01   (best 5.767862e-02)
  start 309: cost 1.946796e-01   (best 5.767862e-02)
  start 310: cost 1.873890e-01   (best 5.767862e-02)
  start 311: cost 2.151104e-01   (best 5.767862e-02)
  start 312: cost 1.920867e-01   (best 5.767862e-02)
  start 313: cost 2.032686e-01   (best 5.767862e-02)
  start 314: cost 1.973477e-01   (best 5.767862e-02)
  start 315: cost 2.070575e-01   (best 5.767862e-02)
  start 316: cost 1.946207e-01   (best 5.767862e-02)
  start 317: cost 1.848227e-01   (best 5.767862e-02)
  start 318: cost 2.203765e-01   (best 5.767862e-02)
  start 319: cost 2.049360e-01   (best 5.767862e-02)
  start 320: cost 2.103820e-01   (best 5.767862e-02)
  start 321: cost 2.104353e-01   (best 5.767862e-02)
  start 322: cost 1.873890e-01   (best 5.767862e-02)
  start 323: cost 1.812783e-01   (best 5.767862e-02)
  start 324: cost 1.927362e-01   (best 5.767862e-02)
  start 325: cost 2.250333e-01   (best 5.767862e-02)
  start 326: cost 2.015399e-01   (best 5.767862e-02)
  start 327: cost 2.128952e-01   (best 5.767862e-02)
  start 328: cost 1.681063e-01   (best 5.767862e-02)
  start 329: cost 1.966491e-01   (best 5.767862e-02)
  start 330: cost 1.897167e-01   (best 5.767862e-02)
  start 331: cost 2.116756e-01   (best 5.767862e-02)
  start 332: cost 2.109642e-01   (best 5.767862e-02)
  start 333: cost 1.821129e-01   (best 5.767862e-02)
  start 334: cost 2.153066e-01   (best 5.767862e-02)
  start 335: cost 2.149906e-01   (best 5.767862e-02)
  start 336: cost 1.977596e-01   (best 5.767862e-02)
  start 337: cost 1.890696e-01   (best 5.767862e-02)
  start 338: cost 1.921050e-01   (best 5.767862e-02)
  start 339: cost 2.576750e-01   (best 5.767862e-02)
  start 340: cost 1.941326e-01   (best 5.767862e-02)
  start 341: cost 1.589400e-01   (best 5.767862e-02)
  start 342: cost 2.025927e-01   (best 5.767862e-02)
  start 343: cost 1.860299e-01   (best 5.767862e-02)
  start 344: cost 1.946010e-01   (best 5.767862e-02)
  start 345: cost 2.097527e-01   (best 5.767862e-02)
  start 346: cost 1.658868e-01   (best 5.767862e-02)
  start 347: cost 1.805332e-01   (best 5.767862e-02)
  start 348: cost 2.020111e-01   (best 5.767862e-02)
  start 349: cost 1.945497e-01   (best 5.767862e-02)
  start 350: cost 2.073678e-01   (best 5.767862e-02)
  start 351: cost 1.983089e-01   (best 5.767862e-02)
  start 352: cost 1.997392e-01   (best 5.767862e-02)
  start 353: cost 1.953487e-01   (best 5.767862e-02)
  start 354: cost 1.589400e-01   (best 5.767862e-02)
  start 355: cost 2.138145e-01   (best 5.767862e-02)
  start 356: cost 1.446461e-01   (best 5.767862e-02)
  start 357: cost 1.860299e-01   (best 5.767862e-02)
  start 358: cost 1.924066e-01   (best 5.767862e-02)
  start 359: cost 2.248352e-01   (best 5.767862e-02)
  start 360: cost 1.983089e-01   (best 5.767862e-02)
  start 361: cost 2.206758e-01   (best 5.767862e-02)
